budget,runtime,vote_average,vote_count,popularity,hit
80000000,97.0,6.5,703,37.321848,1
100000000,104.0,4.2,808,32.271938,0
100000000,99.0,5.6,1680,76.842247,1
140000000,95.0,7.2,948,38.924136,0
100000000,102.0,5.3,381,19.38841,0
90000000,127.0,6.1,1795,61.025639,1
105000000,114.0,5.5,783,33.507289,1
100000000,122.0,6.5,1276,50.767332,0
100000000,95.0,4.4,142,12.092241,0
100000000,115.0,6.4,717,30.254021,0
99000000,88.0,6.5,604,34.308098,1
10000000,110.0,7.1,73,3.091077,1
98000000,130.0,6.0,2206,41.862983,1
100000000,167.0,7.1,1910,46.160048,1
94000000,145.0,7.1,187,12.516546,1
85000000,85.0,5.9,601,23.230851,1
90000000,93.0,5.4,334,19.224754,1
92000000,144.0,7.2,1811,44.455166,1
90000000,126.0,7.3,3885,109.528572,1
100000000,146.0,5.4,426,18.325897,1
95000000,89.0,7.0,858,37.054554,0
95000000,88.0,6.2,2672,65.229868,1
95000000,105.0,6.7,2374,101.187052,1
65000000,136.0,6.6,1065,29.257137,1
94000000,100.0,7.6,6122,85.688789,1
94000000,201.0,8.1,8064,123.630332,1
79000000,179.0,8.0,7487,106.914973,1
95000000,102.0,5.2,957,63.628459,1
115000000,100.0,5.7,2192,41.498631,1
100000000,119.0,5.9,2295,58.991388,1
93000000,92.0,5.7,2077,1.859364,1
93000000,105.0,7.0,4347,138.433168,1
90000000,95.0,6.3,572,21.436682,1
92000000,98.0,5.2,3493,65.402595,1
145000000,137.0,5.8,106,10.660441,0
92000000,115.0,7.4,5152,77.817571,1
98000000,119.0,5.7,136,7.029308,0
95000000,118.0,6.0,2010,61.121717,1
90000000,98.0,6.9,4412,104.121555,1
90000000,92.0,7.3,3806,73.575118,1
100000000,98.0,6.3,1165,37.698465,1
90000000,90.0,6.4,1054,35.814765,1
100000000,130.0,6.3,488,15.835672,1
100000000,90.0,6.5,1747,46.781182,1
90000000,94.0,6.5,2271,69.457898,1
90000000,114.0,7.0,3144,43.348022,1
92000000,98.0,5.6,1232,40.20395,1
90000000,151.0,7.9,4339,63.429157,1
90000000,88.0,7.6,2008,67.427755,1
92000000,107.0,6.5,1667,43.192048,1
90000000,158.0,7.2,2434,47.651083,1
90000000,128.0,6.9,2066,51.881077,1
90000000,128.0,7.0,5766,57.834787,1
100000000,125.0,5.3,621,29.608322,0
120000000,95.0,6.7,1224,51.548589,1
75000000,121.0,6.7,1173,38.832842,1
90000000,113.0,5.5,1048,40.597344,1
88000000,105.0,5.6,2513,140.849495,1
100000000,146.0,6.8,1974,34.035114,1
90000000,99.0,5.2,466,16.302378,1
90000000,150.0,7.2,1308,55.249434,1
95000000,112.0,5.6,634,28.200874,1
80000000,128.0,6.2,392,18.69984,1
90000000,106.0,5.9,1648,40.262261,1
95000000,117.0,5.5,1418,56.811056,1
90000000,129.0,6.7,3235,51.535701,1
68000000,116.0,5.9,302,20.913852,1
92000000,126.0,6.8,579,27.166757,1
90000000,114.0,5.7,369,16.058284,0
90000000,96.0,6.5,2166,46.200042,1
100000000,131.0,6.9,963,24.939295,0
90000000,107.0,5.9,290,15.350451,1
100000000,138.0,6.1,264,15.625949,0
20000000,129.0,6.6,650,31.802807,1
88000000,144.0,7.3,616,24.100863,1
90000000,110.0,5.4,50,3.593349,0
87000000,141.0,6.7,216,14.824166,1
92000000,113.0,6.1,950,32.079995,1
90000000,143.0,7.5,3218,57.739713,1
100000000,108.0,5.9,1410,37.272385,1
75000000,108.0,7.2,2825,53.213931,1
85000000,124.0,6.2,840,36.38795,1
85000000,116.0,7.2,3783,60.929352,1
75000000,110.0,5.6,924,36.605246,1
85000000,91.0,6.8,2566,56.257411,1
85000000,107.0,6.6,1449,29.21998,1
85000000,115.0,6.3,1345,34.773106,1
85000000,100.0,5.1,313,9.895061,1
75000000,104.0,5.8,932,36.743324,1
85000000,136.0,6.7,1225,44.967453,1
90000000,132.0,6.7,1240,41.207568,1
85000000,121.0,6.2,360,16.479851,1
85000000,122.0,6.5,1999,42.069993,1
85000000,83.0,6.1,656,26.61951,1
85000000,139.0,6.9,4663,80.316463,1
68000000,131.0,7.2,999,41.273567,1
85000000,104.0,6.4,514,24.107835,0
85000000,130.0,6.1,712,32.044191,1
85000000,145.0,7.3,652,16.595874,1
85000000,104.0,6.1,1705,8.282876,1
90000000,178.0,6.9,1147,36.069611,1
85000000,108.0,5.5,427,18.827753,0
85000000,106.0,5.5,1114,48.126297,1
60000000,112.0,7.2,2126,38.885195,0
60000000,136.0,5.4,516,29.211255,1
84000000,106.0,4.7,332,17.783361,1
84000000,88.0,5.4,820,31.435539,1
50000000,95.0,6.6,1940,57.673932,0
82500000,107.0,6.0,2104,41.176631,1
8000000,120.0,6.7,226,13.661289,1
85000000,82.0,4.9,119,11.77398,1
85000000,88.0,5.9,1799,21.218,1
85000000,120.0,6.5,1527,58.57976,1
65000000,157.0,7.3,2023,51.970905,1
82000000,123.0,5.7,595,18.447479,1
80000000,101.0,6.4,3012,109.684788,1
80000000,103.0,6.0,2926,77.580661,1
80000000,110.0,6.7,2631,75.290998,1
75000000,142.0,6.9,9455,68.550698,1
80000000,102.0,6.2,3739,58.040149,1
80000000,126.0,6.6,1673,59.113174,1
80000000,83.0,6.3,1074,36.32705,1
80000000,85.0,7.1,1314,55.659988,1
85000000,97.0,5.8,288,14.132583,1
75000000,120.0,5.9,855,34.070054,1
82000000,113.0,6.2,785,26.065735,1
75000000,87.0,5.4,484,23.473004,1
80000000,100.0,5.8,1155,45.589568,1
80000000,110.0,6.0,1051,23.496054,1
80000000,128.0,6.3,410,16.939441,1
80000000,138.0,7.8,6336,81.914696,1
80000000,88.0,5.3,331,19.500893,1
75000000,91.0,6.0,1333,29.558157,1
80000000,138.0,6.8,1583,46.075037,1
80000000,99.0,5.9,901,23.531721,1
80000000,117.0,7.3,1077,49.078546,1
80000000,117.0,6.3,1543,37.02665,1
75000000,115.0,6.5,1270,45.154631,1
80000000,118.0,6.3,1018,46.887983,1
79000000,154.0,6.7,533,24.598479,1
80000000,118.0,6.6,2164,32.363538,1
80000000,93.0,5.3,695,11.50396,1
